finalPlace,area,detailplace,province,finalPoint,better_distribution
上海市金山区廊华路51弄45号,金山区,廊华路51弄45号,上海市,"(30.784261487566177, 121.18354423653689)",275.70299
上海市金山区荡田村戚埭8组8063号集体厂房,金山区,荡田村戚埭8组8063号集体厂房,上海市,"(30.829625467769564, 121.20695470694076)",410.16025
上海市金山区增通路2115号,金山区,增通路2115号,上海市,"(30.77622692728563, 121.4030138370377)",472.35236000000003
上海市金山区松金公路838弄38号,金山区,松金公路838弄38号,上海市,"(30.775534551258556, 121.3128892706465)",950.803941
上海市金山区林贤路1000号,金山区,林贤路1000号,上海市,"(30.876217133309037, 121.33402639929628)",861.62735
上海市金山区板桥东路777号,金山区,板桥东路777号,上海市,"(30.746602916166218, 121.36960738224099)",1795.46647
上海市青浦区重固新丹路119号,青浦区,重固新丹路119号,上海市,"(31.20009784361861, 121.19203933208365)",1068.91654
上海市青浦区朱家角康业路751弄,青浦区,朱家角康业路751弄,上海市,"(31.093117300175557, 121.07094361713327)",1812.4257440000001
上海市青浦区青浦区香花桥街道新达路800号,青浦区,青浦区香花桥街道新达路800号,上海市,"(31.178191813212894, 121.1366227244826)",3436.89394
上海市青浦区青浦区练塘镇蒸夏路89弄56号,青浦区,青浦区练塘镇蒸夏路89弄56号,上海市,"(30.991477543379542, 121.07453630018989)",861.413657
上海市青浦区青浦区白鹤镇鹤辉路500号,青浦区,青浦区白鹤镇鹤辉路500号,上海市,"(31.247598021921693, 121.152009041948)",999.16936
上海市青浦区青浦区华新镇华志路1295弄85号,青浦区,青浦区华新镇华志路1295弄85号,上海市,"(31.23724452759545, 121.22001535041144)",1047.18762
上海市崇明区竖新镇水务所南侧,崇明区,竖新镇水务所南侧,上海市,"(31.570396487271687, 121.58567599808103)",433.0086688
上海市崇明区三星镇协进村1807号,崇明区,三星镇协进村1807号,上海市,"(31.758096445635328, 121.29666874771392)",263.09383
上海市崇明区长江19连,崇明区,长江19连,上海市,"(31.848277250102957, 121.23798280806926)",116.299709
上海市崇明区镇中路188-1号附近,崇明区,镇中路188-1号附近,上海市,"(31.662620202882465, 121.46578819861772)",397.24288443
上海市崇明区农贸公司西侧,崇明区,农贸公司西侧,上海市,"(31.76788024707873, 121.22499007649515)",57.333369
上海市崇明区向化镇老种子公司,崇明区,向化镇老种子公司,上海市,"(31.526277763075317, 121.7300846274569)",577.858115
上海市崇明区新港路138号,崇明区,新港路138号,上海市,"(31.534820209934313, 121.61457529481198)",521.110815
上海市崇明区城桥镇鳌山路15号,崇明区,城桥镇鳌山路15号,上海市,"(31.62067225157608, 121.42343645348484)",1246.04719
上海市崇明区北新支路148号,崇明区,北新支路148号,上海市,"(31.589331930732047, 121.53584196093169)",579.12350997
上海市崇明区爱民村高桥651号,崇明区,爱民村高桥651号,上海市,"(31.7172323743126, 121.32374331646244)",346.61203
上海市崇明区新卫村,崇明区,新卫村,上海市,"(31.824711630569446, 121.38834136399048)",4.623677
上海市崇明区红星星村公路775号,崇明区,红星星村公路775号,上海市,"(31.81875751350587, 121.38400594873372)",131.262732
上海市崇明区横沙乡种子场南北路最北端,崇明区,横沙乡种子场南北路最北端,上海市,"(31.364012814973982, 121.88069732388824)",339.529965
上海市崇明区惠军7队老垃圾房,崇明区,惠军7队老垃圾房,上海市,"(31.616048585598957, 121.69532236015398)",341.708530152
上海市崇明区港西镇新港村新长南路,崇明区,港西镇新港村新长南路,上海市,"(31.73560074102242, 121.44259802865707)",187.053622
上海市崇明区绿华镇华荣村奶牛场,崇明区,绿华镇华荣村奶牛场,上海市,"(31.786553922148137, 121.23160959996763)",58.911709
上海市崇明区长兴镇先进村761号,崇明区,长兴镇先进村761号,上海市,"(31.398381252546343, 121.69547489242956)",861.68744
